EA,Round,Tier,Enemy,Generation,Individual,Fitness,Player Health,Enemy Health,Time
2,0,1,3-6-4-5,0,0,11.80522290355173,-9.503646461966177,-0.6201920231798042,132.96148849072478
2,0,1,3-6-4-5,0,1,13.596439128465555,-9.610609122934221,-3.9578098794425003,166.06549016229383
2,0,1,3-6-4-5,0,2,22.6669594953511,-3.562383616288159,-14.556509603151802,138.8822550840332
2,0,1,3-6-4-5,0,3,0.5347417110166788,-16.87377111446264,18.599450553597407,55.10397952925439
2,0,1,3-6-4-5,0,4,18.157691741242424,-15.226656797432675,-3.40572873934304,167.67112064467153
2,0,1,3-6-4-5,0,5,22.662682513877805,-4.58042346831818,-14.556509603151802,133.76678163932343
2,0,1,3-6-4-5,0,6,0.6969647330352942,-16.10511776651532,18.599450553597407,134.1816525610314
2,0,1,3-6-4-5,0,7,-3.9575296308105194,-13.030504374726064,23.257653858252326,285.1312025250157
2,0,1,3-6-4-5,0,8,11.822982214064147,-2.917973920174532,-0.6201920231798042,153.80536095010535
2,0,1,3-6-4-5,0,9,6.177265742020715,-9.104893863096557,3.4668806854096275,28.206500826856427
2,0,1,3-6-4-5,0,10,8.255030991715302,-13.359927238132059,10.503378532628147,148.58968334416772
2,0,1,3-6-4-5,0,11,13.244195187689705,-12.729107039950978,-3.9578098794425003,129.66637023874176
2,0,1,3-6-4-5,0,12,26.81536499862171,-12.729107039950978,-9.496621467371853,116.13938277424757
2,0,1,3-6-4-5,0,13,0.9591638330941663,-12.591273890184745,18.599450553597407,298.89194930762716
2,0,1,3-6-4-5,0,14,28.68632534257678,-4.646150809145567,-12.749172176353746,109.19649539697161
2,0,1,3-6-4-5,0,15,4.415686116090505,0.0,25.582136662990738,176.07709859364877
2,0,1,3-6-4-5,0,16,11.274574016119224,-16.10511776651532,4.833702066701591,139.15175989374592
2,0,1,3-6-4-5,0,17,-1.2427602951516903,-12.371658647914082,21.185402384165123,271.0710514108124
2,0,1,3-6-4-5,0,18,3.1784538375383775,-13.689350101538047,21.458980337503156,168.06277309623624
2,0,1,3-6-4-5,0,19,7.525124805716786,-15.226656797432675,16.08835008437366,58.65805128843863
2,0,1,3-6-4-5,0,20,5.788496689899773,-13.140311995861396,19.052279599350868,275.6032596660385
2,0,1,3-6-4-5,0,21,0.9262571708978342,-13.030504374726064,18.599450553597407,298.89194930762716
2,0,1,3-6-4-5,0,22,-0.0456751319990758,-7.5401233179594875,21.185402384165123,142.7893228294888
2,0,1,3-6-4-5,0,23,2.498205755723326,-16.10511776651532,15.503378532628147,86.8851095649839
