EA,Round,Tier,Enemy,Generation,Individual,Fitness,Player Health,Enemy Health,Time
1,0,0,4-5,0,0,21.61550493721091,0.0,20.0,218.0
1,0,0,4-5,0,1,21.615504937210915,0.0,0.0,218.0
1,0,0,4-5,0,2,21.676990020861588,0.0,0.0,205.0
1,0,0,4-5,0,3,30.279688223392593,0.0,0.0,166.0
1,0,0,4-5,0,4,21.67699002086159,0.0,30.0,205.0
1,0,0,4-5,0,5,-5.313205979041786,0.0,90.0,203.0
1,0,0,4-5,0,6,30.544678884642295,0.0,0.0,234.0
1,0,0,4-5,0,7,21.615504937210915,0.0,0.0,218.0
1,0,0,4-5,0,8,30.544678884642295,0.0,0.0,193.0
1,0,0,4-5,0,9,30.601837298482252,0.0,0.0,211.0
1,0,0,4-5,0,10,30.544678884642295,0.0,0.0,224.0
1,0,0,4-5,0,11,30.575049982518593,0.0,40.0,227.0
1,0,0,4-5,0,12,21.615504937210915,0.0,40.0,218.0
1,0,0,4-5,0,13,30.544678884642295,0.0,0.0,234.0
1,0,0,4-5,0,14,30.575049982518593,0.0,0.0,227.0
1,0,0,4-5,0,15,30.601837298482252,0.0,0.0,221.0
1,0,0,4-5,0,16,86.56272156273964,37.000000000000284,0.0,200.0
1,0,0,4-5,0,17,21.615504937210908,0.0,40.0,218.0
1,0,0,4-5,0,18,30.575049982518593,0.0,30.0,227.0
1,0,0,4-5,0,19,30.544678884642302,0.0,40.0,234.0
1,0,0,4-5,0,20,12.727000441436253,0.0,0.0,195.0
1,0,0,4-5,0,21,30.454822555520437,0.0,0.0,256.0
1,0,0,4-5,0,22,30.60183729848225,0.0,0.0,211.0
1,0,0,4-5,0,23,30.544678884642295,0.0,0.0,234.0
1,0,0,4-5,0,24,21.67699002086159,0.0,20.0,205.0
1,0,0,4-5,0,25,30.60183729848225,0.0,0.0,198.0
1,0,0,4-5,0,26,30.60183729848225,0.0,0.0,214.0
1,0,0,4-5,0,27,30.59732261812772,0.0,0.0,222.0
1,0,0,4-5,0,28,30.544678884642295,0.0,0.0,154.0
1,0,0,4-5,0,29,2.649114283285259,0.0,60.0,267.0
1,0,0,4-5,0,30,30.60183729848225,0.0,0.0,221.0
1,0,0,4-5,0,31,30.544678884642295,0.0,0.0,154.0
